NC(=O)CC1CCOCC1,10,6,NC(O)CC1CCCCC1,,F2
NC(=O)CC1(O)CCOCC1,11,6,NC(O)CC1(O)CCCCC1,,F2
CC(N)=O.NC(=O)CC1(O)CCOCC1,15,6,CC(N)O.NC(O)CC1(O)CCCCC1,,F2
CC(N)=O.CC(N)=O.O,9,0,CC(N)O.CC(N)O.O,,F2
CC(N)=O.OC1CCOCC1,11,6,CC(N)O.OC1CCCCC1,,F2
C1CCOCC1.CC(N)=O,10,6,C1CCCCC1.CC(N)O,,F2
CC(N)=O.NC(=O)CC1CCOCC1,14,6,CC(N)O.NC(O)CC1CCCCC1,,F2
CC(=O)Nc1ccccc1.OC1CCOCC1,17,12,CC(O)NC1CCCCC1.OC1CCCCC1,,F2
C1CCOCC1.CC(=O)Nc1ccccc1,16,12,C1CCCCC1.CC(O)NC1CCCCC1,,F2
CC(=O)Nc1cccc(NC(C)=O)c1.O,15,6,CC(O)NC1CCCC(NC(C)O)C1.O,,F2
CC(=O)Nc1cccc(NC(=O)CC2CCOCC2)c1,20,12,CC(O)NC1CCCC(NC(O)CC2CCCCC2)C1,Z1222508049,EM;MOL;F2
CC(=O)Nc1cccc(NC(=O)C2C3CCC(=O)C32)c1,20,12,CC(O)NC1CCCC(NC(O)C2C3CCC(O)C32)C1,Z2903951313,EM;MOL;F2
O=C1CCC2C1C2C(=O)Nc1ccccc1,16,12,OC1CCC2C1C2C(O)NC1CCCCC1,,F2
O=C1CCC2CC12.c1ccccc1,13,12,C1CCCCC1.OC1CCC2CC12,,F2
O=C1CCC2CC12,7,6,OC1CCC2CC12,,F2
NC(=O)C1C2CCC(=O)C21,10,6,NC(O)C1C2CCC(O)C21,,F2
CC(N)=O.NC(=O)C1C2CCC(=O)C21,14,6,CC(N)O.NC(O)C1C2CCC(O)C21,,F2
CC(N)=O.O=C1CCC2CC12,11,6,CC(N)O.OC1CCC2CC12,,F2
CC(=O)Nc1ccccc1.O=C1CCC2CC12,17,12,CC(O)NC1CCCCC1.OC1CCC2CC12,,F2
CC(=O)Nc1cccc(NC(=O)C2CN(S(C)(=O)=O)C2)c1,21,10,CC(O)NC1CCCC(NC(O)C2CC(S(C)(O)O)C2)C1,Z2890162907,EM;MOL;F2
CS(=O)(=O)N1CC(C(=O)Nc2ccccc2)C1,17,10,CS(O)(O)C1CC(C(O)NC2CCCCC2)C1,,F2
C[SH](=O)=O.O=CNc1ccccc1,13,6,C[SH](O)O.OCNC1CCCCC1,,F2
C[SH](=O)=O.c1ccccc1,10,6,C1CCCCC1.C[SH](O)O,,F2
C[SH](=O)=O,4,0,C[SH](O)O,,F2
C[SH](=O)=O.NC=O,7,0,C[SH](O)O.NCO,,F2
O=C(Nc1ccccc1)C1CNC1,13,10,OC(NC1CCCCC1)C1CCC1,,F2
C1CNC1.c1ccccc1,10,10,C1CCC1.C1CCCCC1,,F2
C1CNC1,4,4,C1CCC1,,F2
NC(=O)C1CNC1,7,4,NC(O)C1CCC1,,F2
CS(=O)(=O)N1CCC1.c1ccccc1,14,10,C1CCCCC1.CS(O)(O)C1CCC1,,F2
CS(=O)(=O)N1CCC1,8,4,CS(O)(O)C1CCC1,,F2
CS(=O)(=O)N1CC(C(N)=O)C1,11,4,CS(O)(O)C1CC(C(N)O)C1,,F2
CC(N)=O.CS(=O)(=O)N1CC(C(N)=O)C1,15,4,CC(N)O.CS(O)(O)C1CC(C(N)O)C1,,F2
CC(N)=O.C[SH](=O)=O.NC=O,11,0,CC(N)O.C[SH](O)O.NCO,,F2
CC(N)=O.C[SH](=O)=O,8,0,CC(N)O.C[SH](O)O,,F2
CC(N)=O.NC(=O)C1CNC1,11,4,CC(N)O.NC(O)C1CCC1,,F2
C1CNC1.CC(N)=O,8,4,C1CCC1.CC(N)O,,F2
CC(N)=O.CS(=O)(=O)N1CCC1,12,4,CC(N)O.CS(O)(O)C1CCC1,,F2
CC(=O)Nc1ccccc1.CS(=O)(=O)N1CCC1,18,10,CC(O)NC1CCCCC1.CS(O)(O)C1CCC1,,F2
CC(=O)Nc1ccccc1.C[SH](=O)=O,14,6,CC(O)NC1CCCCC1.C[SH](O)O,,F2
C1CNC1.CC(=O)Nc1ccccc1,14,10,C1CCC1.CC(O)NC1CCCCC1,,F2
